videoId,긍정,부정,중립,댓글수,긍정비율,중립비율,부정비율
-0_BEoAcyOo,40,46,7,93,0.43010752688172044,0.43010752688172044,0.4946236559139785
-2R4PxXvfZ4,14,3,1,18,0.7777777777777778,0.7777777777777778,0.16666666666666666
-3kDqAl7ND0,57,188,18,263,0.21673003802281368,0.21673003802281368,0.714828897338403
-41JQklIDtc,5,10,3,18,0.2777777777777778,0.2777777777777778,0.5555555555555556
-4dhAZ78TRE,48,126,20,194,0.24742268041237114,0.24742268041237114,0.6494845360824743
-6r5Alj_a4g,18,49,8,75,0.24,0.24,0.6533333333333333
-7I-GjnxGA0,48,105,6,159,0.3018867924528302,0.3018867924528302,0.660377358490566
-7X-3kwCsV8,12,6,1,19,0.631578947368421,0.631578947368421,0.3157894736842105
-9H6kbE8hrk,3,5,0,8,0.375,0.375,0.625
-B7ZZ4hgAzs,16,20,3,39,0.41025641025641024,0.41025641025641024,0.5128205128205128
-Bidqb1VXVU,12,21,2,35,0.34285714285714286,0.34285714285714286,0.6
-CTzXrom9vs,34,30,5,69,0.4927536231884058,0.4927536231884058,0.43478260869565216
-E-z1xao9d0,7,14,1,22,0.3181818181818182,0.3181818181818182,0.6363636363636364
-E5f5hdCL5I,8,25,1,34,0.23529411764705882,0.23529411764705882,0.7352941176470589
-GGMaOkIIYY,4,10,0,14,0.2857142857142857,0.2857142857142857,0.7142857142857143
-Gmz-Z5LROk,23,22,2,47,0.48936170212765956,0.48936170212765956,0.46808510638297873
-I97WcSxKSA,5,5,0,10,0.5,0.5,0.5
-IDalXFYTuo,10,5,1,16,0.625,0.625,0.3125
-IhaoL49Hoc,3,10,1,14,0.21428571428571427,0.21428571428571427,0.7142857142857143
-IruaMqbe1w,3,13,1,17,0.17647058823529413,0.17647058823529413,0.7647058823529411
-JdiNg4yPS0,28,44,0,72,0.3888888888888889,0.3888888888888889,0.6111111111111112
-Jyea3YKYvU,2,16,2,20,0.1,0.1,0.8
-PD9d1Nze20,15,12,1,28,0.5357142857142857,0.5357142857142857,0.42857142857142855
-PZTj5qHtgc,35,129,11,175,0.2,0.2,0.7371428571428571
-Q0YqA2UDOs,5,15,3,23,0.21739130434782608,0.21739130434782608,0.6521739130434783
-S-r70QeYHg,88,137,7,232,0.3793103448275862,0.3793103448275862,0.5905172413793104
-SsDBY9jb4Y,70,138,18,226,0.30973451327433627,0.30973451327433627,0.6106194690265486
-T6PANwYnDc,5,1,1,7,0.7142857142857143,0.7142857142857143,0.14285714285714285
-T72x1CbhAc,3,5,1,9,0.3333333333333333,0.3333333333333333,0.5555555555555556
-UT-IuYjBic,7,7,1,15,0.4666666666666667,0.4666666666666667,0.4666666666666667
-UyDo-7MF10,15,12,1,28,0.5357142857142857,0.5357142857142857,0.42857142857142855
-Wmmh4CUgzQ,23,18,2,43,0.5348837209302325,0.5348837209302325,0.4186046511627907
-XZdWrLbgt4,6,21,2,29,0.20689655172413793,0.20689655172413793,0.7241379310344828
-Xkpajfys68,12,52,2,66,0.18181818181818182,0.18181818181818182,0.7878787878787878
-Z-yIBf5ttA,44,86,11,141,0.3120567375886525,0.3120567375886525,0.6099290780141844
