videoId,긍정,부정,중립,댓글수,긍정비율,중립비율,부정비율
-037NLTIrb8,42,31,7,80,0.525,0.525,0.3875
-0_BEoAcyOo,40,46,7,93,0.43010752688172044,0.43010752688172044,0.4946236559139785
-15arAePyN4,3,3,0,6,0.5,0.5,0.5
-2AWXdUwWtU,57,33,2,92,0.6195652173913043,0.6195652173913043,0.358695652173913
-2R4PxXvfZ4,14,3,1,18,0.7777777777777778,0.7777777777777778,0.16666666666666666
-3kDqAl7ND0,57,188,18,263,0.21673003802281368,0.21673003802281368,0.714828897338403
-41JQklIDtc,5,10,3,18,0.2777777777777778,0.2777777777777778,0.5555555555555556
-4Z6zwkp9hE,8,5,1,14,0.5714285714285714,0.5714285714285714,0.35714285714285715
-4dhAZ78TRE,48,126,20,194,0.24742268041237114,0.24742268041237114,0.6494845360824743
-4fGaKYgTTs,9,20,2,31,0.2903225806451613,0.2903225806451613,0.6451612903225806
-4wGWaBGyMM,19,14,2,35,0.5428571428571428,0.5428571428571428,0.4
-5arJlYVA2E,11,17,1,29,0.3793103448275862,0.3793103448275862,0.5862068965517241
-6KZi-v9SsA,10,11,1,22,0.45454545454545453,0.45454545454545453,0.5
-6r5Alj_a4g,18,49,8,75,0.24,0.24,0.6533333333333333
-7I-GjnxGA0,48,105,6,159,0.3018867924528302,0.3018867924528302,0.660377358490566
-7X-3kwCsV8,12,6,1,19,0.631578947368421,0.631578947368421,0.3157894736842105
-7qsYLio8KI,6,13,1,20,0.3,0.3,0.65
-9H6kbE8hrk,3,5,0,8,0.375,0.375,0.625
-B7ZZ4hgAzs,16,20,3,39,0.41025641025641024,0.41025641025641024,0.5128205128205128
-Bidqb1VXVU,12,21,2,35,0.34285714285714286,0.34285714285714286,0.6
-CTzXrom9vs,34,30,5,69,0.4927536231884058,0.4927536231884058,0.43478260869565216
-CvbC1ZF41k,10,9,3,22,0.45454545454545453,0.45454545454545453,0.4090909090909091
-E-z1xao9d0,7,14,1,22,0.3181818181818182,0.3181818181818182,0.6363636363636364
