videoId,title,publishedAt,viewCount,likeCount,favoriteCount,commentCount
iL4_iCabwfI,"박찬대 원내대표, 원내 현안 관련 기자간담회 생중계",2024-06-02T02:37:50Z,19980,3698,0,188
Zd0w_-l0oxQ,"‘해병대원 특검법, 국민이 승리한다!’ 윤석열정권 규탄 및 해병대원 특검법 관철을 위한 범국민대회 생중계",2024-06-01T07:45:12Z,12209,2255,0,35
BCTTnRlz5qQ,"'지독한 사랑, 집단지성과 대중정당의 길' 강연 생중계 - 델리민주",2024-05-31T12:21:07Z,40021,6872,0,423
UJoB554pT-E,"내일, 서울역에서 만납시다!",2024-05-31T05:15:30Z,3774,564,0,31
fRwXfyXM3XE,"국민 위협하는 북한 도발, 하루빨리 소통 채널을 복원해야합니다ㅣ최고위원회의",2024-05-31T01:13:03Z,2245,621,0,21
5M2_ESh9mHU,대통령실 역대급 일처리 속도 ⚡️⚡️⚡️,2024-05-30T08:24:24Z,6039,403,0,23
RZBq88_3zuw,실천하는 개혁국회! 행동하는 민주당!👏🏻,2024-05-30T05:31:23Z,7192,1233,0,51
mzmQyMnxCVA,"국민 여러분, 제22대 국회는 이전과는 다른 국회가 될 것입니다ㅣ의원총회 생중계",2024-05-30T05:16:47Z,7570,1565,0,59
LnDBooqMYyU,"대통령 '어제만' 거부권 4개 행사, 총 14번째 거부권ㅣ정책조정회의 생중계",2024-05-30T01:03:11Z,6378,1678,0,23
xNmePKo7Pfg,대통령이 개인핸드폰으로 직접 건 ‘은밀한 통화‘,2024-05-29T07:46:51Z,9419,795,0,20
LMIg-wABj_k,결국...끝까지 '국힘'이 '국힘'했다,2024-05-29T07:23:37Z,3549,439,0,20
RPK3n__wAW8,국민의힘이 끝내 젊은 병사의 억울한 죽음을 저버렸습니다ㅣ최고위원회의,2024-05-29T01:12:38Z,4273,1046,0,37
wUKaeSmcj_U,일본 총리에게 사랑받는 꿀팁 3가지🙇🏻💗,2024-05-28T08:10:39Z,3433,315,0,19
WtEk514k5tU,'꾀병이다' 훈련병 얼차려 중 사망한 이유,2024-05-28T07:37:39Z,8040,532,0,36
Cx_7_8M56cY,"해병대원특검법 결국 또 부결, 국민의힘 규탄한다ㅣ야6당 해병대원특검법 재의 부결 규탄대회",2024-05-28T06:52:37Z,24646,3492,0,81
GJVFb4KHr14,해병대원특검법 결국 부결... 반대한 자가 범인입니다,2024-05-28T06:33:02Z,7248,1194,0,33
H6uQ5t1Jg0s,해병대원특검법 재표결에 찬성해 주십시오,2024-05-28T05:13:05Z,4212,297,0,12
m28WYmcH6EU,"국민의힘 의원님들, 국민과 역사의 편에 서십시오ㅣ더불어민주당 의원총회 생중계",2024-05-28T04:35:34Z,2722,745,0,13
fJ477SanbQU,"국민의힘은 안 하겠다, 반대한다는 말 빼곤 할 말이 없습니까?ㅣ원내대책회의",2024-05-28T00:55:33Z,13910,2397,0,69
nmfArbJHcuQ,국민의힘 의원님들! 본회의 전 이 영상 한 번만 봐주세요,2024-05-27T08:38:52Z,4362,644,0,13
v_UXBQ52MtM,"서영교 사고치다 ""독도? 지도에 없는데?""",2024-05-27T08:33:25Z,9324,769,0,35
VkaqjkBrX9M,"내일 마지막 본회의, 국민연금 개혁안, 해병대원 특검법만은!!! ㅣ최고위원회의",2024-05-27T01:10:56Z,4069,1009,0,30
bekJxw7-lBQ,'국민의 명령은 채상병 특검이다!' 야당·시민사회 공동 채상병 특검법 거부 규탄 및 통과 촉구 범국민대회,2024-05-25T08:12:37Z,14386,2192,0,34
mJ5Okwzpx7o,이재명 당대표 연금개혁 관련 기자회견 생중계,2024-05-25T05:22:53Z,4261,1218,0,27
