id,title,publication_date,description,channel_id,channel_title,viewCount,likeCount,favoriteCount,commentCount,url
-_FipOlfNgE,허위보도 징벌적 손해배상 제도 도입,2021-06-16T04:14:27Z,1:51 악의적 허위보도로 인한 피해구제를 위해 징벌적 손해배상제도를 도입하겠습니다. 국민 80%가 지지하는 제도입니다,UCoQD2xsqwzJA93PTIYERokg,델리민주 Daily Minjoo,3655,201,0,250,https://www.youtube.com/watch?v=-_FipOlfNgE
-_rSpS95ZO0,'초선이 묻고 대선후보가 답하다'  김두관 후보편  #더민초 #토크콘서트,2021-08-23T12:37:41Z,"#더민초 #대선경선후보 #토크콘서트
2021년 8월 23일 저녁 8시 
사회: 최진봉 성공회대 교수 
출연: 김두관 후보",UCoQD2xsqwzJA93PTIYERokg,델리민주 Daily Minjoo,2038,201,0,13,https://www.youtube.com/watch?v=-_rSpS95ZO0
-0_BEoAcyOo,"이익공유제가 사회주의?그렇다면 이명박, 박근혜 대통령도 사회주의?",2021-01-15T11:00:12Z,"#이익공유제 #국민의힘 #적반하장

공동체 정신으로 코로나 경제 극복하기 위한 이익공유제
그러나 국민의 힘, 즉각 반발!
반시장, 반헌법, 사회주의 발상이라는 색깔론까지!
그렇다면 이명박, 박근혜 대통령이 먼저 추진, 시행한 
제도들은 뭔가요?
국민의 힘도 함께 발의한 사회적 경제 기본법은요? 네?",UCoQD2xsqwzJA93PTIYERokg,델리민주 Daily Minjoo,2836,355,0,93,https://www.youtube.com/watch?v=-0_BEoAcyOo
-037NLTIrb8,하나에 민생! 둘에 직장인! 😤,2024-02-28T03:57:27Z,#2024총선 #직장인 #세액공제 #이재명,UCoQD2xsqwzJA93PTIYERokg,델리민주 Daily Minjoo,11314,1842,0,80,https://www.youtube.com/watch?v=-037NLTIrb8
-15arAePyN4,더불어민주당･더불어민주연합 충북 현장 합동 선거대책위원회의 생중계,2024-03-27T01:10:44Z,2024년 3월 27일 수요일 오전 9시 30분,UCoQD2xsqwzJA93PTIYERokg,델리민주 Daily Minjoo,5842,1201,0,6,https://www.youtube.com/watch?v=-15arAePyN4
-2AWXdUwWtU,충주 무학시장 및 자유시장 방문 생중계 - 이재명 상임공동선대위원장,2024-03-27T02:16:53Z,2024년 3월 27일 수요일 오전 10시 20분,UCoQD2xsqwzJA93PTIYERokg,델리민주 Daily Minjoo,19411,2673,0,92,https://www.youtube.com/watch?v=-2AWXdUwWtU
-2R4PxXvfZ4,4.5 재보궐선거 후보자 공천장 수여식 생중계,2023-03-15T01:28:31Z,"#더불어민주당 #재보궐
2023년 3월 15일 수요일 오전 10시 10분 생중계",UCoQD2xsqwzJA93PTIYERokg,델리민주 Daily Minjoo,3837,673,0,18,https://www.youtube.com/watch?v=-2R4PxXvfZ4
-3kDqAl7ND0,원내대표 후보자 대국민 공개토론회 생중계 (1차)  #더불어민주당,2021-04-13T06:31:50Z,"#원내대표 #후보자 #공개토론회 
00:00 스트리밍 시작
09:44 합동토론회 시작
11:35 도종환 비상대책위원장 인사말
15:28 이상민 원내대표선거위원장 인사말
16:25 후보자 입장 
19:47 윤호중 후보 기조연설
27:00 박완주 후보 기조연설
34:09 공통질문1 
41:47 공통질문2 
49:00 개별질문시작
50:50 박완주 후보 개별질문1
53:44 윤호중 후보 개별질문1
56:44 윤호중 후보 개별질문2
1:00:00 박완주 후보 개별질문2
1:03:15 박완주 후보 개별질문3
1:05:50 윤호중 후보 개별질문3
1:08:23 박성준 진행 개인질문 
1:09:00 현장질문1
1:14:40 현장질문2
1:19:27 현장질문3
1:23:55 마무리연설 시작
1:24:21 박완주 후보 마무리연설 
1:26:33 윤호중 후보 마무리연설
1:28:58 마무리 

21년 4월 13일 화요일 오후 2시 생중계",UCoQD2xsqwzJA93PTIYERokg,델리민주 Daily Minjoo,12459,1035,0,267,https://www.youtube.com/watch?v=-3kDqAl7ND0
-41JQklIDtc,나는 보호받을 권리가 있다 - 이·반·통 2편,2020-11-23T05:38:11Z,"#더불어민주당 #전국민고용보험 #전국민산재보험
이것은 반드시 통과시켜야 한다 2편 - 전국민고용보험, 전국민산재보험 특집
노웅래 최고위원·안호영 환노위 간사·김한규 법률대변인 출연
11월 23일 월요일 오후 2시 생중계",UCoQD2xsqwzJA93PTIYERokg,델리민주 Daily Minjoo,1236,213,0,18,https://www.youtube.com/watch?v=-41JQklIDtc
-4dhAZ78TRE,이것이 이재명의 정책입니다! #정책언팩쇼 #대선경선 #국민면접,2021-07-08T04:39:46Z,"#정책언팩쇼 #대선경선 #국민면접
7월 7일 오후 7시 정책언팩쇼 각 후보별 프레젠테이션! 

풀영상 보기: https://youtu.be/GOhtIO7-C2s
*해당 영상 및 썸네일 사진은 각 후보별로 컷편집 외에 일체의 편집도 하지 않았습니다. 
*모든 후보 영상은 알람이 나가지 않았으며 업로드 순서는 행사순서대로입니다.",UCoQD2xsqwzJA93PTIYERokg,델리민주 Daily Minjoo,3731,307,0,194,https://www.youtube.com/watch?v=-4dhAZ78TRE
